Model,Condition,Ratio,F1_mean,F1_std,AUC_PR_mean,AUC_PR_std,MCC_mean,MCC_std,AUC_ROC_mean,AUC_ROC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FPR_mean,FPR_std,TP_mean,FP_mean,TN_mean,FN_mean,Seeds
VAE,VAE (Unsupervised),10%,0.4996987350605275,0.1075109468925547,0.4655449485598343,0.0777070110540913,0.5007447706433952,0.1070981380752226,0.9401005045667424,0.0106445564557317,0.4619884952073361,0.1100469604951685,0.5452631578947369,0.1040455898370658,0.001083829058622,0.0002753363012926,51.8,61.4,56589.6,43.2,5
VAE,VAE (Unsupervised),50%,0.4996987350605275,0.1075109468925547,0.4655449485598343,0.0777070110540913,0.5007447706433952,0.1070981380752226,0.9401005045667424,0.0106445564557317,0.4619884952073361,0.1100469604951685,0.5452631578947369,0.1040455898370658,0.001083829058622,0.0002753363012926,51.8,61.4,56589.6,43.2,5
VAE,VAE (Unsupervised),5%,0.4996987350605275,0.1075109468925547,0.4655449485598343,0.0777070110540913,0.5007447706433952,0.1070981380752226,0.9401005045667424,0.0106445564557317,0.4619884952073361,0.1100469604951685,0.5452631578947369,0.1040455898370658,0.001083829058622,0.0002753363012926,51.8,61.4,56589.6,43.2,5
VAE,VAE (Unsupervised),25%,0.4996987350605275,0.1075109468925547,0.4655449485598343,0.0777070110540913,0.5007447706433952,0.1070981380752226,0.9401005045667424,0.0106445564557317,0.4619884952073361,0.1100469604951685,0.5452631578947369,0.1040455898370658,0.001083829058622,0.0002753363012926,51.8,61.4,56589.6,43.2,5
RF,Synth Aug (50%),50%,0.4331876595358609,0.0023543591400383,0.7977149591706593,,0.4983534442303029,,,,,,,,,,,,,,5
XGB,Synth Aug (50%),50%,0.4318027923850804,0.0062537823900392,0.7749503379205809,,0.4944428910777884,,,,,,,,,,,,,,5
LGBM,Synth Aug (25%),25%,0.3883833817985075,0.0036272042713277,0.7438444297284817,,0.4596342309174509,,,,,,,,,,,,,,5
LR,Synth Aug (25%),25%,0.3102159066261643,0.0036117636533567,0.6649380669886993,,0.3972523259858794,,,,,,,,,,,,,,5
LGBM,Synth Aug (50%),50%,0.1711112645131722,0.0012147707214744,0.754043456143172,,0.2820972139062702,,,,,,,,,,,,,,5
LR,Synth Aug (50%),50%,0.1503065104760041,0.0002231195008503,0.6546375128548128,,0.2622020973653861,,,,,,,,,,,,,,5
