Scenario,Model,Condition,Ratio,F1_mean,F1_std,AUC_PR_mean,MCC_mean
Exp1 Real Baseline,RF,No Handling,,0.841089250071286,0.0037873601424295,0.7975783029066976,0.8486556659665689
Exp2 Synthetic Only,LR,No Handling,,0.8135593220338982,0.0,0.6838556675480161,0.8154789990308225
Exp3 Augmented,RF,Synth Aug (5%),5%,0.8446010283755475,0.0023324031068207,0.8226788069438685,0.846435472762165
