Model,Condition,F1_mean,F1_std,AUC_PR_mean,AUC_PR_std,MCC_mean,MCC_std,AUC_ROC_mean,AUC_ROC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FPR_mean,FPR_std,TP_mean,FP_mean,TN_mean,FN_mean,Seeds
TabPFN,No Handling,0.4787266713934981,0.32943148500022534,0.7345530133364182,0.06314081124833437,0.5350551536871938,0.2715163374047698,0.9577161361577675,0.013294534347067549,0.4666574417665765,0.3948638371093678,0.803161052631579,0.06199020128289529,0.00746932163598168,0.008060451347362541,76.3,423.2,56227.8,18.7,10
TabNet,No Handling,0.42677751528686814,0.39436494853503684,0.4870372959234106,0.30197752909563147,0.43403476856577966,0.4002180504855491,0.8979222924480359,0.13724997338116998,0.5199388396364044,0.4750420858759594,0.36421052631578943,0.3415461017376547,0.00010944202220610634,6.76785564691646e-05,34.6,6.2,56644.8,60.4,5
LGBM,Cost-Sensitive,0.35641154657779395,0.005415091326916176,0.7732806196056125,0.003515013513321068,0.4295693075533563,0.004612010881102359,0.9741819394649976,0.001535488645626713,0.22811179203265083,0.004346090053646243,0.8147368421052631,0.005765500605317551,0.0046248080351626196,0.0001137146628190499,77.4,262.0,56389.0,17.6,5
LGBM,SMOTE,0.20957521047882494,0.003303096757797364,0.6995852073809681,0.0019766721192405767,0.31514151505870974,0.002880869200310319,0.9761057592702874,0.0004044832142043456,0.11968388604349933,0.0021560568074214448,0.8421052631578947,0.0,0.01038993133395698,0.0002113077933543359,80.0,588.6,56062.4,15.0,5
RF,Random Undersampling,0.12362860971147878,0.025526611122974677,0.6979082058707533,0.03855223605025543,0.23595404164752326,0.027052404601867436,0.9718056911709645,0.0015406130745413867,0.06675041467422857,0.014959778386729973,0.8652631578947367,0.0047075115315785175,0.021055232917335902,0.0043813876496595575,82.2,1192.8,55458.2,12.8,5
LR,Random Undersampling,0.1065506548120638,0.015451213616915687,0.5243018362505227,0.08147942312686865,0.217620180545235,0.018482108959499168,0.9611242612895763,0.0006562246734322968,0.056834420582250425,0.00867014330671654,0.8652631578947367,0.008806947647727133,0.02465975887451232,0.004794605898578714,82.2,1397.0,55254.0,12.8,5
LR,Cost-Sensitive,0.10452717307732133,0.0009114853895015512,0.6945333548026758,0.011393838284941183,0.2167913067037362,0.0010397127713501209,0.9637623900353874,0.00022614801171668935,0.05558913063523292,0.000515721470096866,0.8736842105263157,0.0,0.02489276447017702,0.0002434432155910216,83.0,1410.2,55240.8,12.0,5
LGBM,Random Undersampling,0.09875104922034156,0.025082264528286515,0.7127234798158957,0.036373454476967826,0.20671555762314758,0.02749420432300036,0.9703830749492042,0.0022454945108406365,0.052591123282443884,0.014374051514389096,0.8547368421052631,0.013724636642531932,0.027233411590263157,0.006527523814973446,81.2,1542.8,55108.2,13.8,5
LR,SMOTE,0.09709134379816417,0.0006938040180477125,0.6818876025918638,0.0006461170727103057,0.20816920074752768,0.0008174529218610495,0.9605081157112478,0.00018221642019594465,0.05140190765335462,0.0003889287317581964,0.8736842105263157,0.0,0.02703924026054258,0.00021561393775364448,83.0,1531.8,55119.2,12.0,5
XGB,Random Undersampling,0.09271991561074878,0.01088568797859941,0.675844882968114,0.04765315193723193,0.20152170379877762,0.012782793436163311,0.9752222890105531,0.0033987785462241175,0.04902385096169724,0.006112844000082157,0.8631578947368421,0.0,0.028416091507652064,0.003399027428627191,82.0,1609.8,55041.2,13.0,5
TabularResNet,Random Undersampling,0.0714681295282698,0.011826999980602547,0.3965092914881412,0.14262593757621284,0.17455355027003008,0.015104781159921801,0.9681638917508772,0.005439767089905454,0.037314750287263436,0.006454408603349259,0.8652631578947367,0.008806947647727142,0.03844592328467278,0.007344299208027889,82.2,2178.0,54473.0,12.8,5
LGBM,ADASYN,0.0657977463892098,0.000626985869802047,0.6664531674398795,0.013499478275261639,0.16874218572723562,0.0013794558126166377,0.970265327225143,0.0011970137645064367,0.0341766002860898,0.00033113029912920893,0.8800000000000001,0.005765500605317473,0.04170447123616526,0.00024919887015702815,83.6,2362.6,54288.4,11.4,5
LR,ADASYN,0.03195245302420454,2.0136625805996672e-05,0.6925322721012547,0.00016386765781783205,0.1143978363491863,4.1341345901013096e-05,0.9591984533185182,5.6069283485068585e-05,0.01626324287161004,1.043338936935344e-05,0.9052631578947368,0.0,0.09182538701876398,5.986063779215462e-05,86.0,5202.0,51449.0,9.0,5
TabNet,Random Undersampling,0.02008663108345892,0.005993788943814313,0.21419011452410402,0.09106940723359312,0.08534279495441291,0.015528952381845974,0.9437621670635256,0.010950256380183435,0.010165725283158721,0.0030697466358800885,0.8989473684210527,0.01596394830326636,0.15851794319606002,0.05001069950391648,85.4,8980.2,47670.8,9.6,5
