Model,Condition,F1_mean,F1_std,AUC_PR_mean,AUC_PR_std,MCC_mean,MCC_std,AUC_ROC_mean,AUC_ROC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FPR_mean,FPR_std,TP_mean,FP_mean,TN_mean,FN_mean,Seeds
LR,No Handling,0.8135593220338982,0.0,0.6838556675480161,1.4532847663812533e-09,0.8154789990308225,0.0,0.9543035520346648,1.5545970325283007e-07,0.878048780487805,0.0,0.7578947368421053,0.0,0.000176519390655,0.0,72.0,10.0,56641.0,23.0,5
XGB,No Handling,0.7884868973450777,0.01014193034848743,0.6477802262133976,0.00985660435489676,0.7885587861900627,0.010744699993545909,0.9700661018665532,0.002210657242398529,0.8102193863484185,0.02791294055892036,0.7684210526315789,0.007443229275647847,0.00030361335192668,5.4976651788683915e-05,73.0,17.2,56633.8,22.0,5
RF,Cost-Sensitive,0.7764705882352941,0.0,0.6140785083496684,0.010203985655531574,0.7815837667086722,0.0,0.9534940341091206,0.0042870290714874274,0.8800000000000001,0.0,0.6947368421052632,0.0,0.0001588674515895,0.0,66.0,9.0,56642.0,29.0,5
RF,No Handling,0.7515372574487842,0.014334619130703049,0.6248133365253776,0.011312540079225013,0.751248735351967,0.014599128914977689,0.9608236023148196,0.0024680756728132653,0.756209569605383,0.029600353654522932,0.7473684210526316,0.0,0.0004059945985066,6.24090290715339e-05,71.0,23.0,56628.0,24.0,5
TabNet,SMOTE,0.7348759593119187,0.013417223510830212,0.6543881645386088,0.020423819711795098,0.7348863314289685,0.013187544970415582,0.9053738262621833,0.03435730262886883,0.7137278146499242,0.026669665942731118,0.7578947368421052,0.010526315789473651,0.00051190623289962,6.721658140071796e-05,72.0,29.0,56622.0,23.0,5
ResNet,ADASYN,0.7345641005393808,0.0413664442126222,0.6842182572295908,0.018873387811929314,0.7356669208033753,0.03874281057639201,0.9346432125042622,0.014142938911429427,0.7090996606766523,0.07662017409792582,0.7663157894736842,0.008806947647727088,0.0005472101110306599,0.00022397799757197545,72.8,31.0,56620.0,22.2,5
ResNet,SMOTE,0.7298971250114816,0.04207991633853532,0.6949839718852046,0.008315629668460629,0.731194594912141,0.039676826206675696,0.9431937003016623,0.012474406811835469,0.6984829306709537,0.0760634718198197,0.7684210526315789,0.007443229275647882,0.00057545321353546,0.00021712602597215433,73.0,32.6,56618.4,22.0,5
ResNet,No Handling,0.7105964516652667,0.02943778621499434,0.6793202239155024,0.006346914289623736,0.7122057820086842,0.027891230926525457,0.9344799227774118,0.014615669881391803,0.665499523186809,0.0514134273679269,0.7642105263157895,0.009415023063156985,0.0006531217454237,0.0001466280182683273,72.6,37.0,56614.0,22.4,5
LGBM,No Handling,0.6841768044316855,0.003650862864170597,0.6311345665572843,0.004156251841657699,0.687755127054541,0.003317047929461617,0.9576616569224866,0.003219568398601201,0.6165996942018876,0.005924494748664225,0.7684210526315789,0.0,0.0008013980335739,2.0126307127830512e-05,73.0,45.4,56605.6,22.0,5
TabNet,ADASYN,0.6547802618837102,0.06436377417566122,0.6137919184777995,0.09766305764258688,0.6607436096931412,0.06091786986951635,0.913111024193376,0.03171066446750305,0.582482584904069,0.09220091916143007,0.7536842105263158,0.03378275060185516,0.0009390831582849,0.00029415779368374684,71.6,53.2,56597.8,23.4,5
TabNet,No Handling,0.61296,0.24616984583819365,0.61178,0.059552682559226494,0.64004,0.21342220596742034,0.9430799999999999,0.012713260793360607,0.82166,0.08509223231294386,0.52422,0.2734420907614627,0.00016,5.4772255750516614e-05,49.8,9.0,56642.0,45.2,5
TabNet,Cost-Sensitive,0.5663398312015484,0.09224888823604893,0.6229838210128719,0.04282902674797824,0.5885967423964414,0.07674971934096086,0.9322161452067089,0.017665716721016994,0.45768196968757985,0.12342305998939442,0.7705263157894737,0.008806947647727121,0.0016945861502885601,0.0007704419283964871,73.2,96.0,56555.0,21.8,5
RF,SMOTE,0.5602994208037926,0.01139929741395463,0.6293457675176912,0.010237535598506944,0.5769321929190899,0.008881277470426345,0.96908195981118,0.004147468137578754,0.45067661092417444,0.016259636374765882,0.7410526315789474,0.005765500605317563,0.0015180667596335,0.00010952740151095446,70.4,86.0,56565.0,24.6,5
XGB,Cost-Sensitive,0.48586762492059454,0.005954064840944127,0.6463559146029536,0.032094833829596395,0.5260470875649219,0.0052373586877922755,0.9721641370199252,0.0032783568734201206,0.3501131428666257,0.005787886439817942,0.7936842105263159,0.005765500605317551,0.00247127146917086,5.9860637792172e-05,75.4,140.0,56511.0,19.6,5
RF,ADASYN,0.4234878108066087,0.0070662773491237865,0.5695814635713939,0.01496028007734983,0.4642497158545318,0.005380848908085359,0.961403719356466,0.001972332939479854,0.2992850327064365,0.007258974139863105,0.7242105263157895,0.0047075115315785175,0.00284549257735956,0.00010693637345051069,68.8,161.2,56489.8,26.2,5
ResNet,Cost-Sensitive,0.36318166626052434,0.01362825434295863,0.6758231101867165,0.006440399221242525,0.4332162693769007,0.011893226165662981,0.9342175034769674,0.008062728869742429,0.23444036975470026,0.01081624403347644,0.8063157894736843,0.00941502306315698,0.00442357592981584,0.00023669400775786824,76.6,250.6,56400.4,18.4,5
XGB,SMOTE,0.3282967310679429,0.006431199824675855,0.6299821814253938,0.01662696159239605,0.40521815189363436,0.004314569401713817,0.9585707132033716,0.0025818906244960923,0.20642489095523975,0.005476477938087217,0.8021052631578947,0.008806947647727067,0.0051755485340064,0.00020938206001246742,76.2,293.2,56357.8,18.8,5
XGB,ADASYN,0.30343801566974876,0.006913921889446849,0.6300591872416442,0.01236437715928221,0.387591258495455,0.006238506530241116,0.9632266629752436,0.0018907260918781198,0.18656146270772286,0.005022891462473323,0.8126315789473685,0.0047075115315785175,0.0059451730772625,0.0001681109735158682,77.2,336.8,56314.2,17.8,5
LGBM,Cost-Sensitive,0.19400783253170653,0.006050236179942093,0.6956866019326599,0.01465962521080933,0.29568724680133746,0.004518713258047223,0.9549050372130745,0.0012661163279867771,0.11028958018638897,0.004009697338837479,0.8063157894736841,0.005765500605317473,0.010923019893735281,0.0005166623358055641,76.6,618.8,56032.2,18.4,5
VAE,VAE (Unsupervised),0.17764,0.019932962649842095,0.13382,0.006458095694552691,0.2292,0.01692704935894026,0.92994,0.006083009123780803,0.10840000000000001,0.014764145759237138,0.49686,0.01155694596335897,0.00694,0.0009396807968666807,47.2,393.8,56257.2,47.8,5
LGBM,SMOTE,0.1552004639919281,0.003284464257440865,0.674738745252559,0.002985707965612301,0.26392808128419987,0.0031475464791077545,0.960903630632246,0.0009390526323386656,0.08559040832942218,0.001999477358016212,0.8315789473684211,0.0,0.01490529734691352,0.0003772727756231949,79.0,844.4,55806.6,16.0,5
LR,Random Undersampling,0.13546477327705472,0.009895056594878087,0.6548686431678149,0.022876368417630317,0.24753080871636107,0.00914609405542912,0.954198866745512,0.00719709538400377,0.07359894570537318,0.005908514250283772,0.8547368421052631,0.011531001210635118,0.018149723747153578,0.0016818231750042971,81.2,1028.2,55622.8,13.8,5
LR,SMOTE,0.12621012896465292,0.0006383845974501796,0.6583628264451573,8.917364507978597e-05,0.2378305294158598,0.0006686136108556084,0.954736117446712,0.00031807459612614953,0.06814902961132088,0.00037220534641605667,0.8526315789473685,0.0,0.01955128770895476,0.00011480547592459004,81.0,1107.6,55543.4,14.0,5
RF,Random Undersampling,0.10121313967786857,0.00871583692789556,0.6553947386744698,0.011312304458455815,0.21057891085167943,0.009816545426522055,0.9649289230737785,0.001517224857150301,0.05381505479367964,0.00492142222068008,0.8547368421052631,0.013724636642531941,0.025397609927450483,0.002744618260694654,81.2,1438.8,55212.2,13.8,5
XGB,Random Undersampling,0.09969046506857372,0.010073560810502957,0.6244328318607244,0.008585229669529798,0.20855533493797615,0.012099445733219619,0.9658258088072028,0.0013514669234623842,0.05296686528378086,0.005667615470604171,0.8526315789473685,0.010526315789473717,0.025807134913770218,0.0028597230891229506,81.0,1462.0,55189.0,14.0,5
LGBM,ADASYN,0.09803715366500307,0.0010803873909133264,0.588499958260752,0.0028187724489949773,0.20805732810385308,0.0012653901942888041,0.9650302452040146,0.0010256328751809954,0.05197026213903202,0.0006066977748161079,0.8631578947368421,0.0,0.02640730084199746,0.00033000157271435154,82.0,1496.0,55155.0,13.0,5
ResNet,Random Undersampling,0.0911892638664474,0.016741155865701976,0.5016625454441831,0.023233602229300918,0.20074180595371632,0.02033126307902642,0.9625701780709033,0.00935796380859214,0.04817153370658834,0.009349422710222377,0.8757894736842106,0.008806947647727086,0.02988120245008908,0.005634237925015677,83.2,1692.8,54958.2,11.8,5
LGBM,Random Undersampling,0.08616038969777036,0.003376443493678701,0.6771657824426776,0.012449505663969726,0.19283745463976815,0.00396794659775407,0.9559772531538906,0.001371498492071241,0.04537116925989752,0.0018870240843246104,0.8547368421052631,0.013724636642531934,0.030205998128894424,0.0015037027854543235,81.2,1711.2,54939.8,13.8,5
LR,ADASYN,0.06828539322697405,0.000251077511166124,0.6625176174243321,0.00013069042168007487,0.17159840667048804,0.0003464742064810491,0.955334908381791,0.00012420508976415448,0.0355312371066473,0.00013597112394569475,0.8736842105263157,0.0,0.039769818714585764,0.0001573895827092722,83.0,2253.0,54398.0,12.0,5
LR,Cost-Sensitive,0.06576643491193712,0.007433225207317579,0.5841457602297959,0.05518619087840957,0.1674325812967005,0.00975815874326834,0.9457652162037368,0.005819824938762729,0.0341921739394697,0.004029884684885597,0.8694736842105263,0.01200184657999092,0.04168681929709972,0.005392481039218964,82.6,2361.6,54289.4,12.4,5
TabPFN,No Handling (Synthetic),0.06055148741488452,0.02072751651543704,0.7089426216523452,0.010375072890005234,0.159277168536456,0.028708663048752695,0.9512944538536505,0.0033776265957439285,0.03147167087993172,0.011194693626773706,0.8821052631578947,0.015613049446517124,0.05053397115673149,0.018066211613154224,83.8,2862.8,53788.2,11.2,5
TabNet,Random Undersampling,0.009686314198855961,0.0009539989624979138,0.23408839981552906,0.0696315597050144,0.05286307109751848,0.004150945991367831,0.9355976621400283,0.012983898450637844,0.004869104533324039,0.00048231165506334317,0.9157894736842105,0.014886458551295794,0.31605796896789107,0.028085291819759512,87.0,17905.0,38746.0,8.0,5
